PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
1979701,00 00 17.4,+32 05 24,G,,0.53,0.09,72.0,
1806974,00 00 17.4,+27 24 02,G,,0.58,0.1,110.0,
352616,00 00 17.5,-61 45 58,G,,0.5,0.3,24.0,
2433446,00 00 17.5,+53 09 53,G,,0.53,0.06,125.0,
403300,00 00 17.5,-56 04 57,G,,0.53,0.46,92.0,
2209596,00 00 17.6,+42 56 53,G,,0.4,0.25,113.0,
731035,00 00 17.6,-29 17 43,G,,0.43,0.18,16.0,
1093672,00 00 17.7,-02 22 56,G,,0.78,0.12,108.0,NPM1G-02.0535
143122,00 00 17.7,-40 04 25,G,,0.61,0.13,155.0,
734104,00 00 17.8,-29 02 48,G,,0.57,0.33,124.0,
2020089,00 00 17.8,+32 59 55,G,,0.6,0.38,4.0,
607328,00 00 17.8,-38 35 27,G,,0.47,0.18,118.0,
126710,00 00 17.8,-38 40 29,G,,0.4,0.26,10.0,LCRSB235743.8-385711
2151673,00 00 18.1,+39 32 45,G,,0.6,0.33,102.0,
791336,00 00 18.1,-24 18 26,G,,0.44,0.2,140.0,
778129,00 00 18.1,-25 30 40,G,,0.37,0.08,121.0,
2396869,00 00 18.1,+51 36 21,G,,0.79,0.43,96.0,
129157,00 00 18.1,-47 29 23,G,Sc,0.82,0.31,100.0,
2148430,00 00 18.2,+39 21 45,G,,0.51,0.06,163.0,
781945,00 00 18.4,-25 10 05,G,,0.35,0.06,143.0,
341582,00 00 18.5,-62 39 26,G,,0.6,0.43,79.0,
905308,00 00 18.5,-15 52 41,G,,0.48,0.23,25.0,
89490,00 00 18.5,-60 53 45,G,,0.67,0.21,112.0,
777956,00 00 18.5,-25 31 33,G,,0.34,0.1,74.0,
143125,00 00 18.6,-40 05 38,G,,0.64,0.27,53.0,
578757,00 00 18.7,-41 08 04,G,,0.31,0.04,,
770891,00 00 18.7,-26 09 26,G,,0.48,0.14,51.0,
2018574,00 00 18.7,+32 57 15,G,,0.42,0.05,48.0,
143123,00 00 18.8,-54 01 56,G,,0.67,0.3,127.0,
2401859,00 00 18.8,+51 52 48,G,,0.46,0.07,30.0,
1993041,00 00 18.8,+32 21 18,G,,0.38,0.06,171.0,
1342968,00 00 18.9,+08 15 32,G,,0.6,0.19,14.0,
143124,00 00 18.9,-44 12 42,G,,0.96,0.21,2.0,
278590,00 00 18.9,-69 32 10,G,,0.51,0.31,78.0,
812093,00 00 19.0,-22 34 34,G,,0.37,0.09,14.0,
313520,00 00 19.1,-65 25 05,G,,0.35,0.13,109.0,
738804,00 00 19.1,-28 40 44,G,,0.35,0.12,39.0,
2116385,00 00 19.2,+38 02 39,G,,0.51,0.1,55.0,
699106,00 00 19.2,-31 56 12,G,,0.62,0.38,46.0,
299294,00 00 19.2,-67 05 15,G,,0.43,0.09,163.0,
988475,00 00 19.3,-09 37 56,G,,0.4,0.17,163.0,
25,00 00 19.3,+22 59 26,GM,,0.94,0.26,33.0,(UGC12891)            MCG4-01-007           CGCG477-37            CGCG478-9             ARP249                VV186                 IVZw177
369318,00 00 19.4,-59 42 39,G,,0.65,0.54,85.0,
907090,00 00 19.4,-15 44 33,G,,0.55,0.21,61.0,
2390150,00 00 19.5,+51 12 10,G,,0.36,0.05,22.0,
367171,00 00 19.5,-59 58 24,G,,0.37,0.06,170.0,
476052,00 00 19.5,-49 30 59,G,,0.69,0.65,157.0,
2118111,00 00 19.6,+38 06 42,G,,0.55,0.34,67.0,
764100,00 00 19.6,-26 46 04,G,,0.32,0.0,,
987682,00 00 19.7,-09 41 43,G,,0.51,0.27,79.0,
503501,00 00 19.7,-47 18 20,G,,0.39,0.16,116.0,
906020,00 00 19.8,-15 49 25,G,,0.46,0.11,129.0,
1041530,00 00 19.8,-05 41 40,G,,0.47,0.27,177.0,
200388,00 00 19.8,+22 59 37,GM,,,,,(UGC12891)
1978083,00 00 19.9,+32 03 23,G,,0.51,0.18,176.0,
1036000,00 00 20.0,-06 10 03,G,,0.3,0.02,,
594862,00 00 20.0,-39 43 32,G,,0.54,0.05,,
130914,00 00 20.1,-39 48 43,G,Sc,0.62,0.14,17.0,
1960672,00 00 20.1,+31 42 57,G,,0.59,0.08,66.0,NPM1G+31.0506
502100,00 00 20.2,-47 23 34,G,,0.62,0.34,167.0,
1451499,00 00 20.4,+14 11 18,G,,0.69,0.41,162.0,
748360,00 00 20.4,-27 53 56,G,,0.84,0.31,120.0,
720430,00 00 20.5,-30 10 46,G,,0.4,0.23,55.0,
1070798,00 00 20.5,-03 28 30,G,,0.68,0.14,60.0,
746669,00 00 20.7,-28 01 58,G,,0.48,0.28,114.0,
1982673,00 00 20.7,+32 08 56,G,,0.51,0.08,2.0,
712104,00 00 20.8,-30 51 31,G,,0.58,0.3,130.0,
1381360,00 00 20.9,+10 34 06,G,,0.39,0.07,173.0,
1314597,00 00 20.9,+07 08 02,G,,0.61,0.07,87.0,
2437681,00 00 20.9,+53 19 07,G,,0.65,0.17,47.0,
1160032,00 00 21.0,+00 12 54,G,,0.44,0.05,143.0,
485784,00 00 21.0,-48 35 45,G,,0.41,0.05,,
1679585,00 00 21.0,+22 59 44,G,,0.41,0.11,1.0,
1639391,00 00 21.1,+20 56 57,G,,0.38,0.08,14.0,
445906,00 00 21.1,-52 18 18,G,,0.44,0.18,98.0,
469077,00 00 21.2,-50 11 03,G,,0.45,0.16,44.0,
127763,00 00 21.2,-59 37 08,G,Sc,0.67,0.05,,
2385659,00 00 21.2,+50 57 13,G,,0.54,0.12,74.0,
718193,00 00 21.2,-30 21 29,G,,0.49,0.26,127.0,
778000,00 00 21.3,-25 31 21,G,,0.58,0.44,16.0,
1889993,00 00 21.3,+30 05 37,G,,0.49,0.19,111.0,
740371,00 00 21.4,-28 32 49,G,,0.57,0.27,98.0,
23,00 00 21.4,-02 36 44,G,E-SO,1.14,0.29,127.0,MCG-1-01-020
2059574,00 00 21.5,+35 06 42,G,,0.59,0.06,164.0,NPM1G+34.0481
394869,00 00 21.5,-57 01 08,G,,0.41,0.24,45.0,
590055,00 00 21.5,-40 06 53,G,,0.43,0.07,20.0,
325387,00 00 21.5,-64 10 39,G,,0.34,0.1,145.0,
371489,00 00 21.6,-59 25 39,G,,0.6,0.47,156.0,
717894,00 00 21.6,-30 23 08,G,,0.39,0.11,116.0,
818925,00 00 21.6,-22 07 18,G,,0.53,0.05,,
929258,00 00 21.6,-14 04 49,G,,0.46,0.06,178.0,
758971,00 00 21.6,-27 09 40,G,,0.55,0.37,13.0,
598265,00 00 21.6,-39 25 57,G,,0.41,0.16,150.0,
1859523,00 00 21.6,+29 13 20,G,,0.45,0.16,49.0,
755685,00 00 21.7,-27 23 19,G,,0.4,0.15,124.0,
1057366,00 00 21.8,-04 29 59,G,,0.57,0.25,112.0,
914509,00 00 21.8,-15 11 32,G,,0.91,0.68,39.0,
475572,00 00 21.8,-49 33 35,G,,0.48,0.09,66.0,
730110,00 00 21.9,-29 22 28,G,,0.74,0.34,36.0,
1833270,00 00 21.9,+28 20 54,G,,0.55,0.24,56.0,
2296455,00 00 21.9,+47 20 20,G,,0.4,0.21,28.0,
2437030,00 00 22.1,+53 17 40,G,,0.79,0.3,65.0,
504356,00 00 22.1,-47 14 56,G,,0.43,0.24,96.0,
143128,00 00 22.2,-01 37 47,G,,0.82,0.48,180.0,
2013548,00 00 22.3,+32 49 12,G,,0.56,0.09,138.0,
939711,00 00 22.3,-13 18 39,G,,0.49,0.35,57.0,
28,00 00 22.3,+20 47 47,G,Sc,0.67,0.11,1.0,KUG2357+20581
1504473,00 00 22.4,+16 15 19,G,,0.56,0.13,132.0,NPM1G+15.0634
308519,00 00 22.4,-65 58 30,G,,0.43,0.1,20.0,
30,00 00 22.4,-80 47 34,G,SBbc,1.15,0.08,3.0,ESO12-12              ESO-LV120120          IRAS23577-8104
1630897,00 00 22.4,+20 34 12,G,,0.57,0.08,42.0,
29,00 00 22.4,+34 36 58,G,Sc,0.72,0.06,24.0,CGCG517-10            CGCG518-5
2103623,00 00 22.4,+37 33 18,G,,0.52,0.08,36.0,
143129,00 00 22.4,-31 48 10,G,,0.75,0.41,88.0,
587196,00 00 22.4,-40 22 11,G,,0.54,0.51,116.0,
1982052,00 00 22.5,+32 08 10,G,,0.41,0.06,60.0,
35,00 00 22.5,+39 29 44,G,Irr,0.94,0.0,,UGC12894
935158,00 00 22.6,-13 38 35,G,,0.51,0.27,10.0,
2051580,00 00 22.6,+34 35 37,G,,0.66,0.15,48.0,
2128875,00 00 22.7,+38 30 12,G,,0.53,0.17,176.0,
32,00 00 22.8,-49 04 26,GM,,0.65,0.33,133.0,(ESO193-7)            ESO-LV1930070
749859,00 00 22.8,-27 47 20,G,,0.51,0.08,54.0,
1081722,00 00 22.8,-02 50 14,G,,0.65,0.37,136.0,
791408,00 00 22.8,-24 18 04,G,,0.61,0.08,131.0,
1018288,00 00 22.9,-07 28 42,G,,0.43,0.25,20.0,
1501891,00 00 22.9,+16 08 54,G,,0.47,0.16,70.0,
1028522,00 00 23.1,-06 47 59,G,,0.39,0.11,127.0,
143130,00 00 23.1,-35 49 36,G,,0.66,0.33,136.0,
342035,00 00 23.1,-62 37 33,G,,0.34,0.14,30.0,
811794,00 00 23.2,-22 35 46,G,,0.42,0.05,,
839798,00 00 23.2,-20 34 22,G,,0.42,0.12,78.0,
1086746,00 00 23.2,-02 37 47,G,,0.44,0.16,14.0,
511483,00 00 23.2,-46 43 30,G,,0.51,0.32,95.0,
708113,00 00 23.3,-31 11 18,G,,0.56,0.13,77.0,
199304,00 00 23.4,-33 45 45,G,,0.68,0.26,122.0,DUKST349-43
895098,00 00 23.4,-16 40 47,G,,0.86,0.55,60.0,
1642905,00 00 23.4,+21 06 23,G,,0.45,0.09,21.0,
1837107,00 00 23.4,+28 29 02,G,,0.55,0.08,139.0,
31,00 00 23.5,-47 01 07,G,SO-a,0.99,0.13,46.0,FAIRALL1061
27,00 00 23.5,-06 56 11,G,,0.88,0.3,140.0,MCG-1-01-018          NPM1G-07.0578
128405,00 00 23.5,-55 04 02,G,Sc,0.62,0.08,77.0,
597907,00 00 23.5,-39 28 01,G,,0.5,0.26,10.0,
1965544,00 00 23.5,+31 48 31,G,,0.49,0.17,171.0,
728769,00 00 23.6,-29 29 12,G,,0.48,0.22,121.0,
745817,00 00 23.7,-28 06 11,G,,0.44,0.15,8.0,
143132,00 00 23.8,-30 40 07,G,,0.74,0.5,21.0,DUKST409-68
2278914,00 00 23.9,+46 18 24,G,,0.7,0.34,106.0,
811910,00 00 24.0,-22 35 20,G,,0.46,0.18,2.0,
650772,00 00 24.1,-35 17 32,G,,0.38,0.15,149.0,
165937,00 00 24.2,-52 50 33,G,,0.5,0.25,92.0,IRAS23578-5307
560443,00 00 24.2,-42 38 31,G,,0.45,0.27,20.0,
1123341,00 00 24.2,-01 14 46,G,,0.39,0.11,96.0,
484167,00 00 24.2,-48 44 57,G,,0.54,0.11,49.0,
143133,00 00 24.3,-03 29 59,G,,0.53,0.15,84.0,NPM1G-03.0717
780808,00 00 24.4,-25 16 18,G,,0.5,0.34,79.0,
502378,00 00 24.4,-47 22 32,G,,0.36,0.12,172.0,
642012,00 00 24.5,-36 00 03,G,,0.34,0.12,133.0,
758993,00 00 24.5,-27 09 33,G,,0.83,0.63,127.0,
762203,00 00 24.5,-26 55 14,G,,0.53,0.26,79.0,
786910,00 00 24.5,-24 42 45,G,,0.48,0.33,31.0,
1988872,00 00 24.5,+32 16 01,G,,0.52,0.22,104.0,
1089002,00 00 24.5,-02 32 47,G,,0.39,0.04,,
793870,00 00 24.6,-24 04 34,G,,0.59,0.05,,
2084522,00 00 24.6,+36 39 17,G,,0.59,0.16,38.0,
697123,00 00 24.6,-32 04 59,G,,0.45,0.14,137.0,
1695106,00 00 24.6,+23 51 52,G,,0.33,0.07,89.0,
752023,00 00 24.7,-27 38 17,G,,0.43,0.15,150.0,
1561229,00 00 24.7,+18 29 44,G,,0.7,0.5,149.0,
1651001,00 00 24.8,+21 29 09,G,,0.57,0.09,89.0,
638555,00 00 24.8,-36 17 30,G,,0.57,0.25,113.0,
1052459,00 00 24.8,-04 51 48,G,,0.71,0.38,137.0,NPM1G-05.0713
517088,00 00 24.8,-46 15 34,G,,0.39,0.22,32.0,
1815271,00 00 24.9,+27 41 19,G,,0.42,0.11,180.0,
3092892,00 00 24.9,-05 04 53,G,,,,,NPM1G-05.0714
718823,00 00 24.9,-30 18 19,G,,0.41,0.06,83.0,
129156,00 00 25.0,-47 21 54,M,,0.88,0.23,158.0,
540577,00 00 25.0,-44 07 43,G,,0.48,0.17,84.0,
133641,00 00 25.0,-26 02 39,G,Sc,0.96,0.68,151.0,
584590,00 00 25.1,-40 35 51,G,,0.39,0.14,84.0,
1716998,00 00 25.2,+24 48 30,G,,0.48,0.09,144.0,
507382,00 00 25.2,-47 02 27,G,,0.4,0.23,123.0,
39,00 00 25.2,+07 51 17,G,SBab,0.96,0.1,153.0,UGC12892              MCG1-01-007           CGCG408-6
1983820,00 00 25.2,+32 10 15,G,,0.54,0.26,40.0,
539939,00 00 25.2,-44 11 15,G,,0.36,0.05,150.0,
472989,00 00 25.3,-49 48 28,G,,0.42,0.16,87.0,
781649,00 00 25.4,-25 11 41,G,,0.5,0.03,,
1087581,00 00 25.5,-02 35 57,G,,0.52,0.49,52.0,
450694,00 00 25.6,-51 56 54,G,,0.4,0.2,77.0,
753984,00 00 25.6,-27 30 15,G,,0.69,0.05,2.0,
654123,00 00 25.8,-35 02 19,G,,0.6,0.16,142.0,
475237,00 00 25.9,-49 35 34,G,,0.54,0.15,72.0,
753193,00 00 25.9,-27 33 23,G,,0.39,0.17,78.0,
41,00 00 26.0,-05 46 39,GM,,0.46,0.14,107.0,(VIIIZw495)
2277671,00 00 26.1,+46 13 57,G,,0.46,0.15,17.0,
732861,00 00 26.1,-29 08 25,G,,0.39,0.11,96.0,
662640,00 00 26.1,-34 24 55,G,,0.47,0.22,87.0,
1679034,00 00 26.1,+22 57 42,G,,0.37,0.16,158.0,
34,00 00 26.1,-49 04 31,GM,SO-a,0.7,0.1,125.0,(ESO193-7)            ESO-LV1930071
2429781,00 00 26.1,+53 01 20,G,,0.35,0.06,101.0,
1019177,00 00 26.1,-07 25 41,G,,0.61,0.52,135.0,
501613,00 00 26.1,-47 25 22,G,,0.47,0.25,1.0,
281298,00 00 26.1,-69 06 31,G,,0.4,0.12,94.0,
793749,00 00 26.2,-24 05 14,G,,0.88,0.68,108.0,
469975,00 00 26.2,-50 05 35,G,,0.52,0.03,,
1659547,00 00 26.3,+21 54 08,G,,0.58,0.24,165.0,
1088342,00 00 26.3,-02 34 20,G,,0.63,0.14,114.0,
1170206,00 00 26.4,+00 35 50,G,,0.43,0.21,6.0,
771163,00 00 26.4,-26 08 03,G,,0.4,0.2,85.0,
622817,00 00 26.5,-37 27 36,G,,0.39,0.16,30.0,
717730,00 00 26.5,-30 23 55,G,,0.45,0.14,7.0,
781825,00 00 26.5,-25 10 43,G,,0.45,0.13,76.0,
761737,00 00 26.5,-26 57 21,G,,0.37,0.15,29.0,
124870,00 00 26.6,-39 27 30,G,,0.53,0.08,105.0,LCRSB235752.7-394413
687937,00 00 26.7,-32 40 33,G,,0.33,0.05,1.0,
33,00 00 26.7,-18 50 31,G,SBab,0.86,0.16,37.0,NGC7807               ESO538-15             ESO-LV5380150
42,00 00 26.9,-42 32 51,G,,0.64,0.22,63.0,FAIRALL1062
2246052,00 00 26.9,+44 31 12,G,,0.35,0.14,131.0,
341415,00 00 26.9,-62 40 17,G,,0.61,0.37,108.0,
772348,00 00 27.1,-26 01 50,G,,0.55,0.45,103.0,
891662,00 00 27.1,-16 54 58,G,,0.52,0.29,81.0,
1736324,00 00 27.2,+25 25 58,G,,0.39,0.07,99.0,
570621,00 00 27.2,-41 54 19,G,,0.45,0.15,86.0,
756439,00 00 27.3,-27 20 26,G,,0.44,0.24,160.0,
1342051,00 00 27.3,+08 13 16,G,,0.67,0.11,151.0,
1012827,00 00 27.3,-07 48 08,G,,0.63,0.08,113.0,
2105815,00 00 27.4,+37 38 34,G,,0.54,0.43,30.0,
728966,00 00 27.4,-29 28 17,G,,0.48,0.14,48.0,
2147253,00 00 27.5,+39 17 56,G,,0.48,0.11,170.0,
26,00 00 27.5,-07 52 56,G,,1.0,0.1,,MCG-1-01-019
128383,00 00 27.6,-53 20 09,G,Sc,0.71,0.16,139.0,
1987409,00 00 27.7,+32 14 20,G,,0.41,0.1,134.0,
126711,00 00 27.7,-38 03 46,G,,0.54,0.44,123.0,LCRSB235754.0-382030
2796249,00 00 27.7,+59 50 42,G,,0.21,0.1,,ZOAG116.57-2.39
944275,00 00 27.8,-13 00 57,G,,0.56,0.46,166.0,
170467,00 00 27.8,-66 55 14,G,,0.62,0.05,122.0,
582461,00 00 27.8,-40 47 16,G,,0.44,0.34,122.0,
2794829,00 00 27.8,-39 57 20,G,,,,,
719614,00 00 27.8,-30 14 45,G,,0.48,0.14,79.0,
1726830,00 00 27.8,+25 08 39,G,,0.42,0.21,11.0,
973639,00 00 27.8,-10 47 51,G,,0.54,0.47,89.0,
811409,00 00 27.9,-22 37 04,G,,0.43,0.28,139.0,
424176,00 00 27.9,-53 58 32,G,,0.44,0.14,133.0,
38,00 00 28.1,+17 13 10,G,Sd,1.12,0.05,,UGC12893              MCG3-01-011           CGCG456-14
956793,00 00 28.2,-12 09 55,G,,0.42,0.04,,
594134,00 00 28.3,-39 46 59,G,,0.47,0.09,76.0,
923212,00 00 28.4,-14 32 52,G,,0.47,0.14,114.0,
2011081,00 00 28.5,+32 45 28,G,,0.56,0.35,111.0,
923465,00 00 28.8,-14 31 39,G,,0.73,0.06,64.0,NPM1G-14.0711
129170,00 00 28.8,-49 24 33,M,,0.64,0.22,112.0,
832026,00 00 28.8,-21 09 05,G,,0.62,0.56,53.0,
1110957,00 00 28.8,-01 45 18,G,,0.49,0.13,93.0,
733315,00 00 28.9,-29 06 19,G,,0.32,0.06,61.0,
738481,00 00 29.0,-28 42 11,G,,0.48,0.34,121.0,
36,00 00 29.0,+32 46 56,M,,0.83,0.11,152.0,IC5373                !MCG5-01-019          CGCG499-31            CGCG498-59            KAZ235                IRAS23579+3230
2299318,00 00 29.0,+47 30 00,G,,0.54,0.38,42.0,
896003,00 00 29.0,-16 36 20,G,,0.53,0.06,65.0,
738869,00 00 29.1,-28 40 27,G,,0.35,0.07,150.0,
544701,00 00 29.1,-43 46 56,G,,0.44,0.2,163.0,
655614,00 00 29.1,-34 55 48,G,,0.37,0.14,126.0,
408866,00 00 29.1,-55 29 24,G,,0.55,0.37,141.0,
1987723,00 00 29.1,+32 14 42,G,,0.38,0.05,,
89491,00 00 29.2,-60 40 50,G,,,,,
143136,00 00 29.3,-28 11 38,G,,0.6,0.05,38.0,
43,00 00 29.4,-40 29 03,G,SBbc,1.34,0.61,151.0,ESO293-27             MCG-7-01-005          ESO-LV2930270
135592,00 00 29.4,-27 23 24,G,,0.65,0.09,30.0,
915108,00 00 29.4,-15 08 42,G,,0.63,0.48,21.0,
713734,00 00 29.4,-30 43 24,G,,0.38,0.08,42.0,
633749,00 00 29.5,-36 41 41,G,,0.63,0.46,154.0,
948729,00 00 29.5,-12 42 42,G,,0.56,0.34,142.0,
46,00 00 29.5,-05 46 35,GM,,0.5,0.11,144.0,(VIIIZw495)
701736,00 00 29.6,-31 44 02,G,,0.31,0.05,37.0,
1960392,00 00 29.6,+31 42 37,G,,0.45,0.07,95.0,
462901,00 00 29.6,-50 47 45,G,,0.46,0.27,0.0,
1891860,00 00 29.7,+30 08 30,G,,0.44,0.19,169.0,
515807,00 00 29.7,-46 22 22,G,,0.39,0.12,68.0,
1915011,00 00 29.7,+30 42 59,G,,0.43,0.12,38.0,
772840,00 00 29.7,-25 59 25,G,,0.47,0.14,167.0,
1808955,00 00 29.8,+27 27 51,G,,0.37,0.12,22.0,
410388,00 00 29.9,-55 20 06,G,,0.67,0.56,48.0,
1106575,00 00 29.9,-01 54 53,G,,0.5,0.31,130.0,
967318,00 00 29.9,-11 18 42,G,,0.68,0.68,138.0,
975683,00 00 30.0,-10 38 25,G,,0.54,0.34,73.0,
1056210,00 00 30.0,-04 35 05,G,,0.46,0.39,26.0,
131847,00 00 30.1,-36 41 50,G,Sc,0.88,0.45,147.0,
966785,00 00 30.1,-11 21 20,G,,0.63,0.13,14.0,
761208,00 00 30.1,-26 59 37,G,,0.55,0.19,144.0,
364341,00 00 30.2,-60 19 13,G,,0.4,0.09,84.0,
1064765,00 00 30.2,-03 57 32,G,,0.55,0.13,26.0,
608003,00 00 30.3,-38 31 46,G,,0.5,0.17,52.0,
469168,00 00 30.4,-50 10 27,G,,0.44,0.19,54.0,
366975,00 00 30.4,-59 59 38,G,,0.59,0.23,40.0,
524541,00 00 30.5,-45 38 23,G,,0.35,0.11,40.0,
2055453,00 00 30.6,+34 50 41,G,,0.63,0.24,30.0,
775016,00 00 30.7,-25 47 30,G,,0.36,0.1,145.0,
45,00 00 30.7,-50 09 16,GM,,1.01,0.32,23.0,(ESO193-8)            ESO-LV1930080         FAIRALL1063
301464,00 00 30.8,-66 50 30,G,,0.38,0.14,129.0,
821297,00 00 30.8,-21 57 21,G,,0.42,0.3,106.0,
1020140,00 00 30.8,-07 22 12,G,,0.51,0.08,76.0,
476123,00 00 30.9,-49 30 35,G,,0.52,0.33,96.0,
1124115,00 00 30.9,-01 12 47,G,,0.64,0.22,127.0,
387980,00 00 30.9,-57 36 12,G,,0.45,0.13,143.0,
892822,00 00 31.0,-16 50 12,G,,0.44,0.1,161.0,
127775,00 00 31.2,-61 38 40,G,Sc,0.66,0.14,22.0,
316716,00 00 31.3,-65 03 12,G,,0.57,0.17,122.0,
353660,00 00 31.4,-61 38 28,G,,0.69,0.62,148.0,
990702,00 00 31.4,-09 27 56,G,,0.49,0.01,,
416996,00 00 31.4,-54 40 53,G,,0.57,0.52,107.0,
837763,00 00 31.4,-20 43 42,G,,0.31,0.03,,
1088503,00 00 31.5,-02 33 54,G,,0.38,0.19,4.0,
47,00 00 31.5,+26 19 32,G,Sbc,0.85,0.06,146.0,UGC12896              MCG4-01-008           CGCG477-38            CGCG478-10            KUG2357+260           MRK1137               IRAS23579+2602
369957,00 00 31.5,-59 37 40,G,,0.49,0.11,119.0,
132704,00 00 31.6,-28 29 15,G,E,0.79,0.05,131.0,
1432437,00 00 31.6,+13 29 40,G,,0.37,0.16,148.0,
571767,00 00 31.6,-41 48 37,G,,0.35,0.15,1.0,
37,00 00 31.6,+26 18 18,M,,0.75,0.15,148.0,MCG4-01-009           NPM1G+26.0557
366789,00 00 31.7,-60 00 57,G,,0.34,0.07,103.0,
215126,00 00 31.7,-89 01 55,G,,0.95,0.63,52.0,
336870,00 00 31.7,-63 00 57,G,,0.53,0.33,130.0,
1812131,00 00 31.8,+27 34 32,G,,0.33,0.06,31.0,
2062658,00 00 31.9,+35 18 58,G,,0.42,0.13,118.0,
2238933,00 00 32.0,+44 11 56,G,,0.61,0.11,151.0,
1269790,00 00 32.1,+04 33 04,G,,0.63,0.08,120.0,
1282251,00 00 32.1,+05 21 44,G,,0.69,0.26,163.0,NPM1G+05.0645
1984276,00 00 32.2,+32 10 46,G,,0.62,0.24,14.0,
143139,00 00 32.3,-59 41 01,G,,0.61,0.35,13.0,
1345610,00 00 32.4,+08 22 38,G,,0.57,0.12,133.0,
2030541,00 00 32.4,+33 22 17,G,,0.66,0.09,140.0,
469610,00 00 32.4,-50 07 43,G,,0.69,0.51,124.0,
44,00 00 32.5,-50 08 53,G,E-SO,0.96,0.35,6.0,ESO-LV1930081         FAIRALL1064
124796,00 00 32.5,-38 42 13,G,,,,,LCRSB235758.5-385855
503301,00 00 32.5,-47 19 05,G,,0.31,0.03,,
1624717,00 00 32.5,+20 21 06,G,,0.48,0.15,41.0,
1346591,00 00 32.6,+08 25 39,G,,0.51,0.1,29.0,
107662,00 00 32.7,-38 16 16,G,,0.55,0.39,162.0,LCRSB235758.9-383259
543698,00 00 32.7,-43 51 34,G,,0.42,0.1,176.0,
755173,00 00 32.7,-27 25 17,G,,0.51,0.42,132.0,
588812,00 00 32.8,-40 13 23,G,,0.69,0.1,168.0,
927312,00 00 32.9,-14 13 45,G,,0.54,0.1,4.0,
1308301,00 00 33.0,+06 49 42,G,,0.72,0.23,91.0,
1324703,00 00 33.0,+07 33 01,G,,0.83,0.19,30.0,
198791,00 00 33.1,-30 43 36,G,,0.65,0.32,9.0,DUKST409-63
1695456,00 00 33.2,+23 52 58,G,,0.39,0.12,76.0,
143140,00 00 33.2,-46 07 35,G,,0.58,0.07,96.0,
710605,00 00 33.3,-30 59 11,G,,0.5,0.35,44.0,
1551057,00 00 33.4,+18 07 58,G,,0.57,0.29,131.0,
2549339,00 00 33.5,+56 50 20,G,,0.61,0.29,14.0,
782087,00 00 33.5,-25 09 12,G,,0.45,0.09,18.0,
49,00 00 33.6,+22 46 44,G,,0.6,0.11,28.0,KUG2357+225           KAZ236
893588,00 00 33.6,-16 46 59,G,,0.33,0.07,69.0,
143141,00 00 33.6,-50 43 40,G,,0.61,0.11,28.0,
608074,00 00 33.6,-38 31 21,G,,0.52,0.4,93.0,
499174,00 00 33.7,-47 34 34,G,,0.72,0.36,100.0,
420947,00 00 33.7,-54 17 09,G,,0.4,0.24,176.0,
1027012,00 00 33.7,-06 54 51,G,,0.67,0.17,128.0,
483162,00 00 33.8,-48 50 24,G,,0.43,0.06,118.0,
539000,00 00 33.8,-44 16 43,G,,0.43,0.31,172.0,
865778,00 00 33.8,-18 37 42,G,,0.49,0.08,54.0,
1335389,00 00 33.8,+07 57 32,G,,0.47,0.01,,
143142,00 00 34.0,-30 07 33,G,,0.73,0.12,86.0,DUKST409-28
2794830,00 00 34.1,-40 20 06,G,,,,,
583955,00 00 34.1,-40 39 14,G,,0.4,0.13,153.0,
857091,00 00 34.1,-19 18 18,G,,0.53,0.28,122.0,
73203,00 00 34.1,+27 36 10,G,Sc,0.66,0.24,38.0,KUG2358+273
50,00 00 34.2,-40 34 54,GM,,0.52,0.3,8.0,(ESO293-28)           ESO-LV2930281
380049,00 00 34.2,-58 20 13,G,,0.37,0.14,86.0,
1286598,00 00 34.3,+05 37 57,G,,0.54,0.18,147.0,
279323,00 00 34.4,-69 25 04,G,,0.54,0.02,,
898304,00 00 34.4,-16 25 37,G,,0.3,0.06,118.0,
2081390,00 00 34.6,+36 28 58,G,,0.49,0.21,19.0,
782334,00 00 34.6,-25 07 57,G,,0.51,0.24,100.0,
758069,00 00 34.7,-27 13 35,G,,0.44,0.07,100.0,
1660635,00 00 34.7,+21 57 19,G,,0.4,0.04,,
454842,00 00 34.8,-51 34 42,G,,0.42,0.28,41.0,
329657,00 00 34.8,-63 44 20,G,,0.39,0.2,136.0,
1780930,00 00 34.8,+26 34 00,G,,0.41,0.13,48.0,
288122,00 00 34.9,-68 08 26,G,,0.68,0.14,52.0,
1535905,00 00 35.0,+17 34 06,G,,0.5,0.16,42.0,
347349,00 00 35.0,-62 15 01,G,,0.52,0.16,52.0,
617108,00 00 35.0,-37 49 22,G,,0.39,0.14,125.0,
421054,00 00 35.1,-54 16 37,G,,0.5,0.18,167.0,
359640,00 00 35.2,-60 53 33,G,,0.49,0.32,66.0,
687820,00 00 35.3,-32 40 57,G,,0.36,0.15,154.0,
583021,00 00 35.4,-40 44 10,G,,0.44,0.05,148.0,
479387,00 00 35.5,-49 12 04,G,,0.49,0.24,175.0,
474698,00 00 35.5,-49 38 32,G,,0.47,0.18,16.0,
1985047,00 00 35.5,+32 11 37,G,,0.52,0.16,156.0,
503903,00 00 35.5,-47 16 50,G,,0.45,0.34,23.0,
